state,year,total_addicts,all_states_total,state_share_pct,primary,secondary_lower,secondary_upper
Johor,2021,2081.0,18205.0,11.43092556989838,95.5,97.9,97.0
Johor,2022,2674.0,23517.0,11.370497937662115,99.0,100.1,98.1
Johor,2019,2371.0,26080.0,9.091257668711657,97.7,95.2,98.0
Johor,2020,2564.0,20643.0,12.420675289444363,98.2,96.9,89.2
Kedah,2019,3582.0,26080.0,13.734662576687118,100.2,96.1,96.6
Kedah,2020,2372.0,20643.0,11.490577919875987,100.1,96.8,96.7
Kedah,2021,2196.0,18205.0,12.062620159296896,97.2,100.3,100.5
Kedah,2022,2724.0,23517.0,11.583110090572777,101.1,99.4,99.2
Kelantan,2021,2167.0,18205.0,11.90332326283988,100.2,111.7,100.3
Kelantan,2022,2339.0,23517.0,9.945996513160692,98.2,99.0,99.4
Kelantan,2019,2998.0,26080.0,11.495398773006135,99.9,98.0,109.2
Kelantan,2020,2271.0,20643.0,11.001307949425955,99.5,109.9,97.7
Melaka,2021,539.0,18205.0,2.9607250755287007,95.1,98.1,98.2
Melaka,2022,555.0,23517.0,2.3599948973083302,99.5,98.9,97.7
Melaka,2019,819.0,26080.0,3.140337423312883,98.7,98.7,97.0
Melaka,2020,829.0,20643.0,4.015889163396793,98.5,97.8,94.1
Negeri Sembilan,2021,709.0,18205.0,3.8945344685525956,102.9,98.9,98.6
Negeri Sembilan,2022,969.0,23517.0,4.120423523408598,101.6,99.9,100.4
Negeri Sembilan,2019,1244.0,26080.0,4.769938650306749,98.9,96.9,96.9
Negeri Sembilan,2020,812.0,20643.0,3.9335367921329265,100.1,98.2,93.3
Pahang,2021,977.0,18205.0,5.366657511672617,97.3,99.1,99.6
Pahang,2022,1392.0,23517.0,5.919122337032785,96.5,98.7,100.0
Pahang,2019,1672.0,26080.0,6.411042944785277,96.3,96.4,92.9
Pahang,2020,1395.0,20643.0,6.757738700770237,97.0,96.0,97.5
Perak,2021,1637.0,18205.0,8.992035155177149,98.8,99.4,98.8
Perak,2022,2376.0,23517.0,10.10332950631458,99.9,99.2,100.3
Perak,2019,2046.0,26080.0,7.845092024539878,98.6,96.9,97.9
Perak,2020,1821.0,20643.0,8.821392239500073,99.1,97.1,92.4
Perlis,2021,213.0,18205.0,1.1700082394946445,96.9,97.8,97.4
Perlis,2022,429.0,23517.0,1.8242122719734661,105.5,99.7,97.9
Perlis,2019,316.0,26080.0,1.2116564417177913,99.0,93.1,94.6
Perlis,2020,281.0,20643.0,1.3612362544203847,98.8,94.4,93.3
Pulau Pinang,2021,1358.0,18205.0,7.459489151332052,94.0,97.1,95.5
Pulau Pinang,2022,2247.0,23517.0,9.554790151805078,97.7,98.9,100.5
Pulau Pinang,2019,2893.0,26080.0,11.092791411042944,96.0,97.8,96.9
Pulau Pinang,2020,1727.0,20643.0,8.366032068982221,96.9,97.9,92.0
Sabah,2021,644.0,18205.0,3.5374897006316948,97.7,97.9,98.7
Sabah,2022,703.0,23517.0,2.9893268699238846,100.6,99.6,99.6
Sabah,2019,1574.0,26080.0,6.035276073619632,100.3,94.4,95.3
Sabah,2020,834.0,20643.0,4.040110449062636,100.3,95.7,94.2
Sarawak,2021,712.0,18205.0,3.9110134578412525,100.1,97.5,97.5
Sarawak,2022,1215.0,23517.0,5.1664753157290475,100.7,99.0,98.9
Sarawak,2019,852.0,26080.0,3.266871165644172,99.9,95.3,96.0
Sarawak,2020,634.0,20643.0,3.0712590224289107,99.9,96.0,91.8
Selangor,2021,1963.0,18205.0,10.782751991211207,104.5,101.8,95.6
Selangor,2022,2553.0,23517.0,10.855976527618319,98.6,98.1,99.3
Selangor,2019,2385.0,26080.0,9.144938650306749,96.1,97.6,95.8
Selangor,2020,1712.0,20643.0,8.293368211984692,97.3,97.1,93.0
Terengganu,2021,2033.0,18205.0,11.16726174127987,103.7,99.0,100.5
Terengganu,2022,2237.0,23517.0,9.512267721222944,103.8,99.7,99.0
Terengganu,2019,2123.0,26080.0,8.140337423312884,100.7,101.7,99.9
Terengganu,2020,2240.0,20643.0,10.851135978297728,100.4,99.5,96.1
W.P. Kuala Lumpur,2021,857.0,18205.0,4.707497940126339,94.5,98.0,94.7
W.P. Kuala Lumpur,2022,980.0,23517.0,4.167198197048943,93.8,96.4,97.5
W.P. Kuala Lumpur,2019,1023.0,26080.0,3.922546012269939,91.6,97.6,99.4
W.P. Kuala Lumpur,2020,1024.0,20643.0,4.960519304364676,92.4,96.5,80.8
W.P. Labuan,2021,48.0,18205.0,0.2636638286185114,91.4,98.0,96.0
W.P. Labuan,2022,78.0,23517.0,0.33167495854063017,92.4,102.8,99.3
W.P. Labuan,2019,139.0,26080.0,0.5329754601226994,89.8,94.1,99.9
W.P. Labuan,2020,90.0,20643.0,0.4359831419851766,94.1,103.9,95.8
W.P. Putrajaya,2021,71.0,18205.0,0.39000274649821476,76.8,97.5,93.7
W.P. Putrajaya,2022,46.0,23517.0,0.19560318067780752,102.9,103.2,101.7
W.P. Putrajaya,2019,43.0,26080.0,0.16487730061349692,99.5,103.3,103.6
W.P. Putrajaya,2020,37.0,20643.0,0.17923751392723924,101.4,105.7,93.5
