state,feature_year,target_year,previous_total_addicts,previous_state_share_pct,previous_primary_completion,previous_secondary_lower_completion,previous_secondary_upper_completion,target_total_addicts
Johor,2019,2020,2371.0,9.091257668711657,97.7,95.2,98.0,2564.0
Kedah,2019,2020,3582.0,13.734662576687118,100.2,96.1,96.6,2372.0
Kelantan,2019,2020,2998.0,11.495398773006135,99.9,98.0,109.2,2271.0
Melaka,2019,2020,819.0,3.140337423312883,98.7,98.7,97.0,829.0
Negeri Sembilan,2019,2020,1244.0,4.769938650306749,98.9,96.9,96.9,812.0
Pahang,2019,2020,1672.0,6.411042944785277,96.3,96.4,92.9,1395.0
Perak,2019,2020,2046.0,7.845092024539878,98.6,96.9,97.9,1821.0
Perlis,2019,2020,316.0,1.2116564417177913,99.0,93.1,94.6,281.0
Pulau Pinang,2019,2020,2893.0,11.092791411042944,96.0,97.8,96.9,1727.0
Sabah,2019,2020,1574.0,6.035276073619632,100.3,94.4,95.3,834.0
Sarawak,2019,2020,852.0,3.266871165644172,99.9,95.3,96.0,634.0
Selangor,2019,2020,2385.0,9.144938650306749,96.1,97.6,95.8,1712.0
Terengganu,2019,2020,2123.0,8.140337423312884,100.7,101.7,99.9,2240.0
W.P. Kuala Lumpur,2019,2020,1023.0,3.922546012269939,91.6,97.6,99.4,1024.0
W.P. Labuan,2019,2020,139.0,0.5329754601226994,89.8,94.1,99.9,90.0
W.P. Putrajaya,2019,2020,43.0,0.16487730061349692,99.5,103.3,103.6,37.0
Johor,2020,2021,2564.0,12.420675289444363,98.2,96.9,89.2,2081.0
Kedah,2020,2021,2372.0,11.490577919875987,100.1,96.8,96.7,2196.0
Kelantan,2020,2021,2271.0,11.001307949425955,99.5,109.9,97.7,2167.0
Melaka,2020,2021,829.0,4.015889163396793,98.5,97.8,94.1,539.0
Negeri Sembilan,2020,2021,812.0,3.9335367921329265,100.1,98.2,93.3,709.0
Pahang,2020,2021,1395.0,6.757738700770237,97.0,96.0,97.5,977.0
Perak,2020,2021,1821.0,8.821392239500073,99.1,97.1,92.4,1637.0
Perlis,2020,2021,281.0,1.3612362544203847,98.8,94.4,93.3,213.0
Pulau Pinang,2020,2021,1727.0,8.366032068982221,96.9,97.9,92.0,1358.0
Sabah,2020,2021,834.0,4.040110449062636,100.3,95.7,94.2,644.0
Sarawak,2020,2021,634.0,3.0712590224289107,99.9,96.0,91.8,712.0
Selangor,2020,2021,1712.0,8.293368211984692,97.3,97.1,93.0,1963.0
Terengganu,2020,2021,2240.0,10.851135978297728,100.4,99.5,96.1,2033.0
W.P. Kuala Lumpur,2020,2021,1024.0,4.960519304364676,92.4,96.5,80.8,857.0
W.P. Labuan,2020,2021,90.0,0.4359831419851766,94.1,103.9,95.8,48.0
W.P. Putrajaya,2020,2021,37.0,0.17923751392723924,101.4,105.7,93.5,71.0
Johor,2021,2022,2081.0,11.43092556989838,95.5,97.9,97.0,2674.0
Kedah,2021,2022,2196.0,12.062620159296896,97.2,100.3,100.5,2724.0
Kelantan,2021,2022,2167.0,11.90332326283988,100.2,111.7,100.3,2339.0
Melaka,2021,2022,539.0,2.9607250755287007,95.1,98.1,98.2,555.0
Negeri Sembilan,2021,2022,709.0,3.8945344685525956,102.9,98.9,98.6,969.0
Pahang,2021,2022,977.0,5.366657511672617,97.3,99.1,99.6,1392.0
Perak,2021,2022,1637.0,8.992035155177149,98.8,99.4,98.8,2376.0
Perlis,2021,2022,213.0,1.1700082394946445,96.9,97.8,97.4,429.0
Pulau Pinang,2021,2022,1358.0,7.459489151332052,94.0,97.1,95.5,2247.0
Sabah,2021,2022,644.0,3.5374897006316948,97.7,97.9,98.7,703.0
Sarawak,2021,2022,712.0,3.9110134578412525,100.1,97.5,97.5,1215.0
Selangor,2021,2022,1963.0,10.782751991211207,104.5,101.8,95.6,2553.0
Terengganu,2021,2022,2033.0,11.16726174127987,103.7,99.0,100.5,2237.0
W.P. Kuala Lumpur,2021,2022,857.0,4.707497940126339,94.5,98.0,94.7,980.0
W.P. Labuan,2021,2022,48.0,0.2636638286185114,91.4,98.0,96.0,78.0
W.P. Putrajaya,2021,2022,71.0,0.39000274649821476,76.8,97.5,93.7,46.0
