state,total_recorded_addicts,average_annual_addicts,minimum_annual_addicts,maximum_annual_addicts,years_available
Kedah,10874.0,2718.5,2196.0,3582.0,4
Kelantan,9775.0,2443.75,2167.0,2998.0,4
Johor,9690.0,2422.5,2081.0,2674.0,4
Terengganu,8633.0,2158.25,2033.0,2240.0,4
Selangor,8613.0,2153.25,1712.0,2553.0,4
Pulau Pinang,8225.0,2056.25,1358.0,2893.0,4
Perak,7880.0,1970.0,1637.0,2376.0,4
Pahang,5436.0,1359.0,977.0,1672.0,4
W.P. Kuala Lumpur,3884.0,971.0,857.0,1024.0,4
Sabah,3755.0,938.75,644.0,1574.0,4
Negeri Sembilan,3734.0,933.5,709.0,1244.0,4
Sarawak,3413.0,853.25,634.0,1215.0,4
Melaka,2742.0,685.5,539.0,829.0,4
Perlis,1239.0,309.75,213.0,429.0,4
W.P. Labuan,355.0,88.75,48.0,139.0,4
W.P. Putrajaya,197.0,49.25,37.0,71.0,4
