state,year,total_addicts,all_states_total,state_share_pct,year_on_year_change_pct
Johor,2019,2371.0,26080.0,9.091257668711657,
Johor,2020,2564.0,20643.0,12.420675289444363,8.140025305778153
Johor,2021,2081.0,18205.0,11.43092556989838,-18.83775351014041
Johor,2022,2674.0,23517.0,11.370497937662115,28.49591542527632
Kedah,2019,3582.0,26080.0,13.734662576687118,
Kedah,2020,2372.0,20643.0,11.490577919875987,-33.78001116694585
Kedah,2021,2196.0,18205.0,12.062620159296896,-7.4198988195615545
Kedah,2022,2724.0,23517.0,11.583110090572777,24.04371584699454
Kelantan,2019,2998.0,26080.0,11.495398773006135,
Kelantan,2020,2271.0,20643.0,11.001307949425955,-24.249499666444297
Kelantan,2021,2167.0,18205.0,11.90332326283988,-4.5794804051078835
Kelantan,2022,2339.0,23517.0,9.945996513160692,7.937240424550063
Melaka,2019,819.0,26080.0,3.140337423312883,
Melaka,2020,829.0,20643.0,4.015889163396793,1.2210012210012167
Melaka,2021,539.0,18205.0,2.9607250755287007,-34.98190591073582
Melaka,2022,555.0,23517.0,2.3599948973083302,2.9684601113172615
Negeri Sembilan,2019,1244.0,26080.0,4.769938650306749,
Negeri Sembilan,2020,812.0,20643.0,3.9335367921329265,-34.72668810289389
Negeri Sembilan,2021,709.0,18205.0,3.8945344685525956,-12.684729064039413
Negeri Sembilan,2022,969.0,23517.0,4.120423523408598,36.67136812411849
Pahang,2019,1672.0,26080.0,6.411042944785277,
Pahang,2020,1395.0,20643.0,6.757738700770237,-16.56698564593302
Pahang,2021,977.0,18205.0,5.366657511672617,-29.964157706093186
Pahang,2022,1392.0,23517.0,5.919122337032785,42.47697031729785
Perak,2019,2046.0,26080.0,7.845092024539878,
Perak,2020,1821.0,20643.0,8.821392239500073,-10.997067448680353
Perak,2021,1637.0,18205.0,8.992035155177149,-10.104338275672708
Perak,2022,2376.0,23517.0,10.10332950631458,45.143555284056205
Perlis,2019,316.0,26080.0,1.2116564417177913,
Perlis,2020,281.0,20643.0,1.3612362544203847,-11.075949367088612
Perlis,2021,213.0,18205.0,1.1700082394946445,-24.199288256227756
Perlis,2022,429.0,23517.0,1.8242122719734661,101.40845070422534
Pulau Pinang,2019,2893.0,26080.0,11.092791411042944,
Pulau Pinang,2020,1727.0,20643.0,8.366032068982221,-40.3041825095057
Pulau Pinang,2021,1358.0,18205.0,7.459489151332052,-21.366531557614366
Pulau Pinang,2022,2247.0,23517.0,9.554790151805078,65.46391752577318
Sabah,2019,1574.0,26080.0,6.035276073619632,
Sabah,2020,834.0,20643.0,4.040110449062636,-47.01397712833545
Sabah,2021,644.0,18205.0,3.5374897006316948,-22.781774580335735
Sabah,2022,703.0,23517.0,2.9893268699238846,9.161490683229822
Sarawak,2019,852.0,26080.0,3.266871165644172,
Sarawak,2020,634.0,20643.0,3.0712590224289107,-25.5868544600939
Sarawak,2021,712.0,18205.0,3.9110134578412525,12.302839116719234
Sarawak,2022,1215.0,23517.0,5.1664753157290475,70.64606741573034
Selangor,2019,2385.0,26080.0,9.144938650306749,
Selangor,2020,1712.0,20643.0,8.293368211984692,-28.21802935010482
Selangor,2021,1963.0,18205.0,10.782751991211207,14.661214953271017
Selangor,2022,2553.0,23517.0,10.855976527618319,30.056036678553234
Terengganu,2019,2123.0,26080.0,8.140337423312884,
Terengganu,2020,2240.0,20643.0,10.851135978297728,5.511069241639199
Terengganu,2021,2033.0,18205.0,11.16726174127987,-9.241071428571423
Terengganu,2022,2237.0,23517.0,9.512267721222944,10.03443187407771
W.P. Kuala Lumpur,2019,1023.0,26080.0,3.922546012269939,
W.P. Kuala Lumpur,2020,1024.0,20643.0,4.960519304364676,0.09775171065493637
W.P. Kuala Lumpur,2021,857.0,18205.0,4.707497940126339,-16.30859375
W.P. Kuala Lumpur,2022,980.0,23517.0,4.167198197048943,14.352392065344223
W.P. Labuan,2019,139.0,26080.0,0.5329754601226994,
W.P. Labuan,2020,90.0,20643.0,0.4359831419851766,-35.251798561151084
W.P. Labuan,2021,48.0,18205.0,0.2636638286185114,-46.666666666666664
W.P. Labuan,2022,78.0,23517.0,0.33167495854063017,62.5
W.P. Putrajaya,2019,43.0,26080.0,0.16487730061349692,
W.P. Putrajaya,2020,37.0,20643.0,0.17923751392723924,-13.953488372093027
W.P. Putrajaya,2021,71.0,18205.0,0.39000274649821476,91.89189189189189
W.P. Putrajaya,2022,46.0,23517.0,0.19560318067780752,-35.2112676056338
